,Water_site,Year,Month,Weather_station,Rank,Monthly_Rainfall,Avg_temp,Avg_Nitrate,Warning_level,Change,Future_Nitrate,Future_Warning,latitude.x,longitude.x,Region,,Region2
31,Beaver Creek at Johnston,2024,7,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,8.99,84.93548387,8.8,Warning,-3.1,5.7,Safe,41.6882532,-93.7354999,DML,TRUE,DML
32,Beaver Creek at Johnston,2024,8,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,2.9,84.35483871,5.7,Safe,-5.45,0.25,Safe,41.6882532,-93.7354999,DML,TRUE,DML
33,Beaver Creek at Johnston,2024,9,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,0.6,82.3,0.25,Safe,0,0.25,Safe,41.6882532,-93.7354999,DML,TRUE,DML
34,Beaver Creek at Johnston,2024,10,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,2.1,72.5483871,0.25,Safe,0.05,0.3,Safe,41.6882532,-93.7354999,DML,TRUE,DML
35,Beaver Creek at Johnston,2024,11,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,2.8,50.66666667,0.3,Safe,6.3,6.6,Safe,41.6882532,-93.7354999,DML,TRUE,DML
36,Beaver Creek at Johnston,2024,12,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,1.66,38.09677419,6.6,Safe,9.4,16,Alert,41.6882532,-93.7354999,DML,TRUE,DML
37,Beaver Creek at Johnston,2025,1,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,0.21,31.74193548,16,Alert,-9.1,6.9,Safe,41.6882532,-93.7354999,DML,TRUE,DML
38,Beaver Creek at Johnston,2025,2,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,0.38,32.92857143,6.9,Safe,-2.5,4.4,Safe,41.6882532,-93.7354999,DML,TRUE,DML
39,Beaver Creek at Johnston,2025,3,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,2.67,58.93548387,4.4,Safe,6.6,11,Alert,41.6882532,-93.7354999,DML,TRUE,DML
40,Beaver Creek at Johnston,2025,4,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,3.2,63.33333333,11,Alert,2,13,Alert,41.6882532,-93.7354999,DML,TRUE,DML
41,Beaver Creek at Johnston,2025,5,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,5.37,72.61290323,13,Alert,-2,11,Alert,41.6882532,-93.7354999,DML,TRUE,DML
42,Beaver Creek at Johnston,2025,6,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,4.41,84.5,11,Alert,6,17,Alert,41.6882532,-93.7354999,DML,TRUE,DML
43,Beaver Creek at Johnston,2025,7,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,10.62,85.87096774,17,Alert,-13.7,3.3,Safe,41.6882532,-93.7354999,DML,TRUE,DML
44,Beaver Creek at Johnston,2025,8,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,1.96,82.51612903,3.3,Safe,5.2,8.5,Warning,41.6882532,-93.7354999,DML,TRUE,DML
45,Beaver Creek at Johnston,2025,9,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,1.67,80.6,8.5,Warning,3.5,12,Alert,41.6882532,-93.7354999,DML,TRUE,DML
46,Beaver Creek at Johnston,2025,10,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,2.27,68.5483871,12,Alert,-1,11,Alert,41.6882532,-93.7354999,DML,TRUE,DML
47,Beaver Creek at Johnston,2025,11,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,1.5,50.53333333,11,Alert,1,12,Alert,41.6882532,-93.7354999,DML,TRUE,DML
48,Beaver Creek at Johnston,2025,12,"DES MOINES INTERNATIONAL AIRPORT, IA US",1,0.83,36.83870968,12,Alert,2,14,Alert,41.6882532,-93.7354999,DML,TRUE,DML
49,Beaver Creek near Cedar Falls,2022,1,"WATERLOO MUNICIPAL AIRPORT, IA US",1,0.59,23.35483871,5.8,Safe,-1.4,4.4,Safe,42.57352,-92.50671,IS,TRUE,IS
50,Beaver Creek near Cedar Falls,2022,2,"WATERLOO MUNICIPAL AIRPORT, IA US",1,0.24,31.07142857,4.4,Safe,2.9,7.3,Safe,42.57352,-92.50671,IS,TRUE,IS
51,Beaver Creek near Cedar Falls,2022,3,"WATERLOO MUNICIPAL AIRPORT, IA US",1,3.45,45.87096774,7.3,Safe,1.8,9.1,Warning,42.57352,-92.50671,IS,TRUE,IS
52,Beaver Creek near Cedar Falls,2022,4,"WATERLOO MUNICIPAL AIRPORT, IA US",1,4.03,54.8,9.1,Warning,3.9,13,Alert,42.57352,-92.50671,IS,TRUE,IS
53,Beaver Creek near Cedar Falls,2022,5,"WATERLOO MUNICIPAL AIRPORT, IA US",1,4.08,73.35483871,13,Alert,0,13,Alert,42.57352,-92.50671,IS,TRUE,IS
54,Beaver Creek near Cedar Falls,2022,6,"WATERLOO MUNICIPAL AIRPORT, IA US",1,6,83.96666667,13,Alert,-1,12,Alert,42.57352,-92.50671,IS,TRUE,IS
55,Beaver Creek near Cedar Falls,2022,7,"WATERLOO MUNICIPAL AIRPORT, IA US",1,3.5,85.80645161,12,Alert,-9.3,2.7,Safe,42.57352,-92.50671,IS,TRUE,IS
56,Beaver Creek near Cedar Falls,2022,8,"WATERLOO MUNICIPAL AIRPORT, IA US",1,5.45,83.48387097,2.7,Safe,-0.7,2,Safe,42.57352,-92.50671,IS,TRUE,IS
57,Beaver Creek near Cedar Falls,2022,9,"WATERLOO MUNICIPAL AIRPORT, IA US",1,1.13,77.4,2,Safe,-0.5,1.5,Safe,42.57352,-92.50671,IS,TRUE,IS
58,Beaver Creek near Cedar Falls,2022,10,"WATERLOO MUNICIPAL AIRPORT, IA US",1,1.39,64.80645161,1.5,Safe,1.5,3,Safe,42.57352,-92.50671,IS,TRUE,IS
59,Beaver Creek near Cedar Falls,2022,11,"WATERLOO MUNICIPAL AIRPORT, IA US",1,2.59,47.93333333,3,Safe,0.8,3.8,Safe,42.57352,-92.50671,IS,TRUE,IS
60,Beaver Creek near Cedar Falls,2022,12,"WATERLOO MUNICIPAL AIRPORT, IA US",1,1.59,30.5483871,3.8,Safe,2,5.8,Safe,42.57352,-92.50671,IS,TRUE,IS
61,Beaver Creek near Cedar Falls,2023,1,"WATERLOO MUNICIPAL AIRPORT, IA US",1,2.02,30.51612903,5.8,Safe,-0.4,5.4,Safe,42.57352,-92.50671,IS,TRUE,IS
62,Beaver Creek near Cedar Falls,2023,2,"WATERLOO MUNICIPAL AIRPORT, IA US",1,2.29,37.35714286,5.4,Safe,0.9,6.3,Safe,42.57352,-92.50671,IS,TRUE,IS
63,Beaver Creek near Cedar Falls,2023,3,"WATERLOO MUNICIPAL AIRPORT, IA US",1,1.7,44.90322581,6.3,Safe,1.3,7.6,Warning,42.57352,-92.50671,IS,TRUE,IS
64,Beaver Creek near Cedar Falls,2023,4,"WATERLOO MUNICIPAL AIRPORT, IA US",1,1.23,63.4,7.6,Warning,-1.1,6.5,Safe,42.57352,-92.50671,IS,TRUE,IS
65,Beaver Creek near Cedar Falls,2023,5,"WATERLOO MUNICIPAL AIRPORT, IA US",1,1.75,78.41935484,6.5,Safe,-1.4,5.1,Safe,42.57352,-92.50671,IS,TRUE,IS
66,Beaver Creek near Cedar Falls,2023,6,"WATERLOO MUNICIPAL AIRPORT, IA US",1,2.2,86.03333333,5.1,Safe,-3.4,1.7,Safe,42.57352,-92.50671,IS,TRUE,IS
67,Beaver Creek near Cedar Falls,2023,7,"WATERLOO MUNICIPAL AIRPORT, IA US",1,3.95,85.12903226,1.7,Safe,-1.6,0.1,Safe,42.57352,-92.50671,IS,TRUE,IS
68,Beaver Creek near Cedar Falls,2023,8,"WATERLOO MUNICIPAL AIRPORT, IA US",1,1.12,87.16129032,0.1,Safe,0,0.1,Safe,42.57352,-92.50671,IS,TRUE,IS
69,Beaver Creek near Cedar Falls,2023,9,"WATERLOO MUNICIPAL AIRPORT, IA US",1,1.9,82.93333333,0.1,Safe,0.03,0.13,Safe,42.57352,-92.50671,IS,TRUE,IS
70,Beaver Creek near Cedar Falls,2023,10,"WATERLOO MUNICIPAL AIRPORT, IA US",1,3.38,64.93548387,0.13,Safe,0.03,0.16,Safe,42.57352,-92.50671,IS,TRUE,IS
